FlushFlashMemory command sent, waiting for new packets
01:33:690	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 29 50 210 96
01:33:690	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 30 50 210 95
01:33:690	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 31 50 210 88
01:33:690	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 32 50 210 89
01:33:690	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 33 50 209 86
01:33:691	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 35 50 209 83
01:33:691	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 36 50 211 98
01:33:761	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 37 50 211 99
01:33:761	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 38 50 209 85
01:33:761	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 39 50 211 95
01:33:763	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 40 50 210 96
01:33:763	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 41 50 210 95
01:33:763	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 42 50 210 93
01:33:774	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 43 50 209 94
01:33:785	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 44 50 210 94
01:33:901	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 45 50 210 96
01:33:902	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 46 50 210 90
01:33:902	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 47 50 210 88
01:33:902	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 48 50 211 96
01:33:902	Tue Apr 10 01:01:33 PDT 2012 15 3 41 0 2 49 50 212 89
01:33:902	Tue Apr 10 01:01:33 PDT 2012 16 3 41 0 2 0 50 211 100
01:33:903	Tue Apr 10 01:01:33 PDT 2012 16 3 41 0 2 1 50 210 74
